MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3516.8350000,-1.2393051,-75.0301361,-0.0487644
MsgID.LOCAL_VELOCITY,3516.8350000,-0.0000112,0.0000657,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3982970,37.7924693,0.0030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3517.0860000,-1.2393175,-75.0006866,-0.0037458
MsgID.LOCAL_VELOCITY,3517.0860000,-0.0000332,0.0000556,0.0000214
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924693,-0.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3517.3370000,-1.2394029,-75.1152954,0.0284457
MsgID.LOCAL_VELOCITY,3517.3370000,-0.0000566,0.0000528,0.0000150
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924693,-0.0470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3517.5870000,-1.2342638,-75.1177216,0.0473462
MsgID.LOCAL_VELOCITY,3517.5870000,-0.0000638,0.0000562,0.0000171
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924696,-0.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3517.8370000,-1.2066715,-75.1177216,0.0504593
MsgID.LOCAL_VELOCITY,3517.8370000,0.0000097,0.0000698,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924683,-0.0390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
